Name,Card Number,Name,Rarity,Is Unique,Normal Price,Foil Price
Spark of Rebellion,001,Director Krennic,Common,true,0.06 €,
Spark of Rebellion,002,Iden Versio,Rare,true,0.17 €,
Spark of Rebellion,003,Chewbacca,Common,true,0.06 €,
Spark of Rebellion,004,Chirrut Îmwe,Rare,true,0.19 €,
Spark of Rebellion,005,Luke Skywalker,Special,true,0.96 €,
Spark of Rebellion,006,Emperor Palpatine,Rare,true,0.26 €,
Spark of Rebellion,007,Grand Moff Tarkin,Common,true,0.07 €,
Spark of Rebellion,008,Hera Syndulla,Rare,true,0.31 €,
Spark of Rebellion,009,Leia Organa,Common,true,0.06 €,
Spark of Rebellion,010,Darth Vader,Special,true,1.13 €,
Spark of Rebellion,011,Grand Inquisitor,Rare,true,0.26 €,
Spark of Rebellion,012,IG-88,Common,true,0.08 €,
Spark of Rebellion,013,Cassian Andor,Rare,true,0.24 €,
Spark of Rebellion,014,Sabine Wren,Common,true,0.07 €,
Spark of Rebellion,015,Boba Fett,Common,true,0.07 €,
Spark of Rebellion,016,Grand Admiral Thrawn,Rare,true,0.23 €,
Spark of Rebellion,017,Han Solo,Rare,true,0.26 €,
Spark of Rebellion,018,Jyn Erso,Common,true,0.09 €,
Spark of Rebellion,019,Security Complex,Rare,false,0.31 €,0.68 €
Spark of Rebellion,020,Capital City,Common,false,0.13 €,
Spark of Rebellion,021,Dagobah Swamp,Common,false,0.10 €,
Spark of Rebellion,022,Energy Conversion Lab,Rare,false,2.32 €,2.36 €
Spark of Rebellion,023,Command Center,Common,false,0.09 €,
Spark of Rebellion,024,Echo Base,Common,false,0.14 €,
Spark of Rebellion,025,Tarkintown,Rare,false,0.51 €,0.81 €
Spark of Rebellion,026,Catacombs of Cadera,Common,false,0.10 €,
Spark of Rebellion,027,Kestro City,Common,false,0.09 €,
Spark of Rebellion,028,Jedha City,Rare,false,0.21 €,0.30 €
Spark of Rebellion,029,Administrator's Tower,Common,false,0.09 €,
Spark of Rebellion,030,Chopper Base,Common,false,0.08 €,
Spark of Rebellion,031,Inferno Four,Uncommon,true,0.44 €,0.52 €
